Name,Location,Acceptance_Rate,Net_Price,SAT_Range
"Stony Brook University, SUNY","STONY BROOK, NY",49%,"$16,478",1230-1440
Illinois Institute of Technology,"CHICAGO, IL",61%,"$28,161",1200-1390
Otis College of Art and Design,"LOS ANGELES, CA",80%,"$46,876",1050-1270
Suffolk University,"BOSTON, MA",84%,"$34,561",1010-1200
School of the Art Institute of Chicago,"CHICAGO, IL",78%,"$51,606",1120-1360
Brandeis University,"WALTHAM, MA",30%,"$41,222",1320-1510
Berklee College of Music,"BOSTON, MA",51%,"$43,744",
Lynn University,"BOCA RATON, FL",79%,"$37,524",980-1170
Andrews University,"BERRIEN SPRINGS, MI",49%,"$22,850",1030-1380
Nyack College,"NEW YORK, NY",97%,"$18,349",830-1080
The New School,"NEW YORK, NY",69%,"$50,908",1150-1380
University of San Francisco,"SAN FRANCISCO, CA",70%,"$42,801",1140-1330
Hawaii Pacific University,"HONOLULU, HI",75%,"$29,827",970-1160
Earlham College,"RICHMOND, IN",59%,"$24,474",1110-1330
Menlo College,"ATHERTON, CA",65%,"$27,052",920-1150
Rutgers University - New Brunswick,"NEW BRUNSWICK, NJ",67%,"$17,835",1180-1410
Boston University,"BOSTON, MA",20%,"$29,154",1310-1500
California College of the Arts,"SAN FRANCISCO, CA",85%,"$43,687",
Oral Roberts University,"TULSA, OK",78%,"$20,461",980-1220
Salem University,"SALEM, WV",100%,"$18,753",
Tulane University,"NEW ORLEANS, LA",11%,"$47,413",1340-1500
Case Western Reserve University,"CLEVELAND, OH",30%,"$36,002",1340-1520
University of Richmond,"UNIVERSITY OF RICHMOND, VA",31%,"$25,700",1280-1460
Washington State University,"PULLMAN, WA",80%,"$17,931",1020-1210
Purdue University,"WEST LAFAYETTE, IN",67%,"$12,294",1170-1420
William & Mary,"WILLIAMSBURG, VA",42%,"$18,588",1300-1490
Lehigh University,"BETHLEHEM, PA",32%,"$26,631",1280-1450
Drexel University,"PHILADELPHIA, PA",77%,"$39,463",1180-1380
Michigan Technological University,"HOUGHTON, MI",70%,"$17,356",1160-1350
Wake Forest University,"WINSTON-SALEM, NC",32%,"$26,324",1270-1410
Kent State University - Tuscarawas,"NEW PHILADELPHIA, OH",100%,"$9,718",
The Cooper Union for the Advancement of Science and Art,"NEW YORK, NY",15%,"$25,005",1330-1500
Hodges University,"FORT MYERS, FL",61%,"$21,204",
Rochester University,"ROCHESTER HILLS, MI",99%,"$17,649",840-1060
Monroe College - Bronx/New Rochelle,"BRONX, NY",49%,"$12,330",
Penn State Lehigh Valley,"CENTER VALLEY, PA",85%,"$18,152",1010-1200
Ohio University - Chillicothe,"CHILLICOTHE, OH",100%,"$7,985",
Everglades University,"BOCA RATON, FL",75%,"$30,154",
St. Johns River State College,"PALATKA, FL",100%,"$5,266",
University of Mount Olive,"MOUNT OLIVE, NC",58%,"$14,805",900-1110
South College - Knoxville,"KNOXVILLE, TN",100%,"$11,654",
Gurnick Academy - San Mateo Campus,"SAN MATEO, CA",100%,"$26,274",
Keiser University - Fort Lauderdale,"FORT LAUDERDALE, FL",97%,"$31,371",
Mercy College,"DOBBS FERRY, NY",82%,"$15,721",930-1110
Mount Saint Mary's University Los Angeles,"LOS ANGELES, CA",90%,"$27,346",900-1110
University of Maine at Fort Kent,"FORT KENT, ME",99%,"$12,162",880-1070
University of the Cumberlands,"WILLIAMSBURG, KY",80%,"$13,764",930-1140
Herzing University - Orlando,"WINTER PARK, FL",92%,"$23,379",
Granite State College,"CONCORD, NH",100%,"$13,051",
Metropolitan College of New York,"NEW YORK, NY",40%,"$24,083",
ECPI University,"VIRGINIA BEACH, VA",80%,"$22,072",
St. Catherine University,"SAINT PAUL, MN",76%,"$18,912",1080-1240
Piedmont University,"DEMOREST, GA",70%,"$19,796",980-1160
Valencia College,"ORLANDO, FL",100%,"$4,901",
The Master's University,"SANTA CLARITA, CA",60%,"$29,567",990-1250
Concordia University - St. Paul,"SAINT PAUL, MN",69%,"$16,521",920-1110
Bay Path University,"LONGMEADOW, MA",78%,"$19,177",940-1170
Ameritech College of Healthcare,"DRAPER, UT",100%,"$21,608",
Penn State Worthington Scranton,"DUNMORE, PA",82%,"$17,495",970-1150
University of Massachusetts Global,"IRVINE, CA",89%,"$24,084",
Grace Christian University,"WYOMING, MI",100%,"$13,105",
Molloy College,"ROCKVILLE CENTRE, NY",74%,"$27,454",1080-1250
Marymount California University,"RANCHO PALOS VERDES, CA",100%,"$30,159",
University of Sioux Falls,"SIOUX FALLS, SD",92%,"$21,824",1070-1230
Rasmussen College - Ocala,"OCALA, FL",100%,"$18,862",
Charter College - Alaska,"VANCOUVER, WA",100%,"$24,737",
Ohio Christian University,"CIRCLEVILLE, OH",100%,"$23,319",760-980
National University,"LA JOLLA, CA",89%,"$21,363",750-1170
St. Joseph's College - New York,"BROOKLYN, NY",71%,"$16,290",1020-1200
Bryant & Stratton College - Wauwatosa,"WAUWATOSA, WI",100%,"$14,163",
Galveston College,"GALVESTON, TX",100%,"$4,076",
St. Petersburg College,"CLEARWATER, FL",100%,"$2,702",
Collin College,"MCKINNEY, TX",100%,"$6,618",
Trinity Washington University,"WASHINGTON, DC",96%,"$15,295",
Cairn University,"LANGHORNE, PA",81%,"$23,396",1000-1250
Ohio University - Lancaster,"LANCASTER, OH",100%,"$7,270",
Stanbridge University - Orange County,"IRVINE, CA",35%,"$24,969",
Central Baptist College,"CONWAY, AR",50%,"$15,547",860-1060
Metropolitan State University - Minnesota,"SAINT PAUL, MN",56%,"$15,941",
SUNY Empire State College,"SARATOGA SPRINGS, NY",100%,"$12,059",
Virginia Tech,"BLACKSBURG, VA",70%,"$18,449",1180-1390
University of Mississippi,"UNIVERSITY, MS",88%,"$14,672",1020-1250
University of California - Santa Barbara,"SANTA BARBARA, CA",30%,"$16,767",1230-1480
University of Illinois Urbana-Champaign,"URBANA, IL",59%,"$14,660",1210-1470
San Diego State University,"SAN DIEGO, CA",34%,"$14,499",1110-1320
University of Central Florida,"ORLANDO, FL",44%,"$11,617",1170-1340
Southern Methodist University,"DALLAS, TX",47%,"$40,404",1300-1480
Kansas State University,"MANHATTAN, KS",95%,"$18,103",
University of Dayton,"DAYTON, OH",72%,"$33,372",1120-1320
University of Cincinnati,"CINCINNATI, OH",77%,"$19,219",1120-1350
Stevens Institute of Technology,"HOBOKEN, NJ",40%,"$40,770",1340-1500
SUNY Maritime College,"THROGGS NECK, NY",74%,"$18,411",1090-1260
Rensselaer Polytechnic Institute,"TROY, NY",47%,"$41,006",1290-1490
Massachusetts Maritime Academy,"BUZZARDS BAY, MA",91%,"$15,424",1020-1180
Lafayette College,"EASTON, PA",31%,"$26,810",1250-1440
Worcester Polytechnic Institute,"WORCESTER, MA",49%,"$42,393",1310-1480
College of the Holy Cross,"WORCESTER, MA",34%,"$34,627",1260-1430
Clarkson University,"POTSDAM, NY",75%,"$29,891",1160-1350
Maine Maritime Academy,"CASTINE, ME",45%,"$20,728",1010-1200
United States Merchant Marine Academy,"KINGS POINT, NY",25%,"$4,617",1190-1330
Rose-Hulman Institute of Technology,"TERRE HAUTE, IN",74%,"$45,356",1250-1460
Virginia Military Institute,"LEXINGTON, VA",60%,"$13,428",1090-1270
Albany College of Pharmacy & Health Sciences,"ALBANY, NY",71%,"$30,358",1150-1330
Colgate University,"HAMILTON, NY",23%,"$23,503",1330-1500
Colorado School of Mines,"GOLDEN, CO",53%,"$26,856",1160-1460
